iso3c,country,SNAU_2016,SNAU_2017,SNAU_2018,SNAU_2019,SPI.D1.1.SNAU_2016,SPI.D1.1.SNAU_2017,SPI.D1.1.SNAU_2018,SPI.D1.1.SNAU_2019
FSM,"Micronesia, Fed. Sts.",SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
MDA,Moldova,SNA 1993,SNA 1993,SNA 1993,SNA 2008,0.5,0.5,0.5,1
MNG,Mongolia,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
MNE,Montenegro,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
MAR,Morocco,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
MOZ,Mozambique,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
MMR,Myanmar,SNA 1968,SNA 1968,SNA 1968,SNA 1968,0,0,0,0
NAM,Namibia,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
NRU,Nauru,SNA 0,SNA 1993,SNA 1993,SNA 1993,0,0.5,0.5,0.5
NPL,Nepal,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
NLD,Netherlands,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
NZL,New Zealand,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
NIC,Nicaragua,SNA 1993,SNA 1993,SNA 1993,SNA 2008,0.5,0.5,0.5,1
NER,Niger,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
NGA,Nigeria,SNA 2008,SNA 2008,SNA 2008,SNA 2008,1,1,1,1
NOR,Norway,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
OMN,Oman,SNA 1993,SNA 2008,SNA 1993,NA,0.5,1,0.5,NA
PAK,Pakistan,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
PLW,Palau,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
PAN,Panama,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
PNG,Papua New Guinea,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
PRY,Paraguay,SNA 1993,SNA 1993,SNA 1993,SNA 2008,0.5,0.5,0.5,1
PER,Peru,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
PHL,Philippines,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
POL,Poland,SNA 2008,SNA 2008,SNA 2008,SNA 2008,1,1,1,1
PRT,Portugal,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
QAT,Qatar,SNA 1993,SNA 1993,SNA 1993,NA,0.5,0.5,0.5,NA
ROU,Romania,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
RUS,Russian Federation,SNA 1993,SNA 1993,SNA 1993,SNA 2008,0.5,0.5,0.5,1
RWA,Rwanda,SNA 2008,SNA 2008,SNA 1993,SNA 1993,1,1,0.5,0.5
WSM,Samoa,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
