iso3c,country,CNIN_2016,CNIN_2017,CNIN_2018,CNIN_2019,SPI.D1.3.CNIN_2016,SPI.D1.3.CNIN_2017,SPI.D1.3.CNIN_2018,SPI.D1.3.CNIN_2019
AFG,Afghanistan,na,NA,NA,na,0,0,0,0
ALB,Albania,rev4,Rev4,Rev4,rev4,1,1,1,1
DZA,Algeria,rev3,Rev3,Rev3,rev3,0.5,0.5,0.5,0.5
AGO,Angola,rev4,Rev4,Rev4,rev4,1,1,1,1
ATG,Antigua and Barbuda,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
ARG,Argentina,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
ARM,Armenia,nace rev2,nace rev2,nace rev2,nace rev2,1,1,1,1
AUS,Australia,rev4,Rev4,Rev4,NA,1,1,1,NA
AUT,Austria,rev4,Rev4,Rev4,NA,1,1,1,NA
AZE,Azerbaijan,rev4,Rev4,Rev4,rev4,1,1,1,1
BHS,"Bahamas, The",rev4,rev4,rev4,NA,1,1,1,NA
BHR,Bahrain,rev3,Rev3,Rev3,NA,0.5,0.5,0.5,NA
BGD,Bangladesh,rev4,Rev4,Rev4,rev4,1,1,1,1
BRB,Barbados,rev3,Rev3,Rev3,NA,0.5,0.5,0.5,NA
BLR,Belarus,rev4,Rev4,Rev4,rev4,1,1,1,1
BEL,Belgium,rev4,Rev4,Rev4,NA,1,1,1,NA
BLZ,Belize,Rev3,Rev3,Rev3,Rev3,0.5,0.5,0.5,0.5
BEN,Benin,rev3,Rev3,Rev3,rev3,0.5,0.5,0.5,0.5
BTN,Bhutan,ISIC rev2,ISIC rev2,ISIC rev2,na,0,0,0,0
BOL,Bolivia,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
BIH,Bosnia and Herzegovina,rev4,Rev4,Rev4,rev4,1,1,1,1
BWA,Botswana,na,Rev4,Rev4,rev4,0,1,1,1
BRA,Brazil,rev4,Rev4,Rev4,rev4,1,1,1,1
BRN,Brunei Darussalam,rev3,Rev3,Rev3,NA,0.5,0.5,0.5,NA
BGR,Bulgaria,rev4,Rev4,Rev4,rev4,1,1,1,1
BFA,Burkina Faso,rev3,Rev3,Rev3,rev4,0.5,0.5,0.5,1
BDI,Burundi,rev3,Rev3,Rev3,rev3,0.5,0.5,0.5,0.5
CPV,Cabo Verde,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,0,0,0,0
KHM,Cambodia,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
CMR,Cameroon,rev4,Rev4,Rev4,rev4,1,1,1,1
CAN,Canada,rev4,Rev4,Rev4,NA,1,1,1,NA
CAF,Central African Republic,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
TCD,Chad,NA,NA,NA,NA,0,0,0,0
CHL,Chile,rev3,Rev3,Rev3,rev3,0.5,0.5,0.5,0.5
CHN,China,rev4,rev4,rev4,rev4,1,1,1,1
COL,Colombia,rev4,rev4,rev4,rev4,1,1,1,1
COM,Comoros,NA,NA,NA,NA,0,0,0,0
COD,"Congo, Dem. Rep.",rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
COG,"Congo, Rep.",ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,0,0,0,0
CRI,Costa Rica,rev4,rev4,rev4,rev4,1,1,1,1
CIV,Cote d'Ivoire,rev3,Rev3,Rev3,rev3,0.5,0.5,0.5,0.5
HRV,Croatia,rev4,Rev4,Rev4,rev4,1,1,1,1
CYP,Cyprus,rev4,Rev4,Rev4,NA,1,1,1,NA
CZE,Czech Republic,rev4,nace rev2,nace rev2,NA,1,1,1,NA
DNK,Denmark,rev4,Rev4,Rev4,NA,1,1,1,NA
DJI,Djibouti,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,0,0,0,0
DMA,Dominica,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
DOM,Dominican Republic,rev4,rev4,rev4,rev4,1,1,1,1
ECU,Ecuador,rev4,rev4,rev4,rev4,1,1,1,1
EGY,"Egypt, Arab Rep.",rev4,rev4,rev4,rev4,1,1,1,1
SLV,El Salvador,rev3,rev4,rev4,rev4,0.5,1,1,1
GNQ,Equatorial Guinea,NA,NA,NA,NA,0,0,0,0
ERI,Eritrea,NA,NA,NA,NA,0,0,0,0
EST,Estonia,rev4,Rev4,Rev4,NA,1,1,1,NA
SWZ,Eswatini,rev4,rev4,rev4,rev4,1,1,1,1
ETH,Ethiopia,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,0,0,0,0
FJI,Fiji,rev4,Rev4,Rev4,rev4,1,1,1,1
FIN,Finland,rev4,Rev4,Rev4,NA,1,1,1,NA
FRA,France,rev4,Rev4,Rev4,NA,1,1,1,NA
GAB,Gabon,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
GMB,"Gambia, The",rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
GEO,Georgia,rev3,Rev3,Rev3,rev3,0.5,0.5,0.5,0.5
DEU,Germany,rev4,Rev4,Rev4,NA,1,1,1,NA
GHA,Ghana,rev4,Rev4,Rev4,rev4,1,1,1,1
GRC,Greece,rev4,Rev4,Rev4,NA,1,1,1,NA
GRD,Grenada,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
GTM,Guatemala,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
GIN,Guinea,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,0,0,0,0
GNB,Guinea-Bissau,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,0,0,0,0
GUY,Guyana,rev4,rev4,rev4,rev4,1,1,1,1
HTI,Haiti,na,NA,NA,na,0,0,0,0
HND,Honduras,rev3,Rev3,Rev3,rev3,0.5,0.5,0.5,0.5
HUN,Hungary,rev4,Rev4,Rev4,NA,1,1,1,NA
ISL,Iceland,nace rev1,nace rev1,nace rev1,NA,0.5,0.5,0.5,NA
IND,India,rev3,Rev3,Rev3,rev3,0.5,0.5,0.5,0.5
IDN,Indonesia,rev4,rev4,rev4,rev4,1,1,1,1
IRN,"Iran, Islamic Rep.",rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
IRQ,Iraq,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
IRL,Ireland,rev4,Rev4,Rev4,NA,1,1,1,NA
ISR,Israel,rev4,Rev4,Rev4,NA,1,1,1,NA
ITA,Italy,rev4,Rev4,Rev4,NA,1,1,1,NA
JAM,Jamaica,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
JPN,Japan,rev4,Rev4,Rev4,NA,1,1,1,NA
JOR,Jordan,rev4,Rev4,Rev4,rev4,1,1,1,1
KAZ,Kazakhstan,nace rev2,nace rev2,nace rev2,nace rev2,1,1,1,1
KEN,Kenya,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
KIR,Kiribati,rev3,rev3,rev3,rev3,0.5,0.5,0.5,0.5
KOR,"Korea, Rep.",rev4,rev4,rev4,NA,1,1,1,NA
XKX,Kosovo,NACE REV2,nace rev2,nace rev2,NACE REV2,1,1,1,1
KWT,Kuwait,rev3,rev3,rev3,NA,0.5,0.5,0.5,NA
KGZ,Kyrgyz Republic,rev4,rev4,rev4,rev4,1,1,1,1
LAO,Lao PDR,NA,NA,NA,NA,0,0,0,0
LVA,Latvia,rev4,Rev4,Rev4,NA,1,1,1,NA
LBN,Lebanon,na,NA,NA,na,0,0,0,0
