iso3c,country,SPI.D1.MSC_2016,SPI.D1.MSC_2017,SPI.D1.MSC_2018
MDV,Maldives,41.66666666666667,41.66666666666667,45.83333333333333
MEX,Mexico,58.333333333333336,79.16666666666666,79.16666666666666
MHL,Marshall Islands,4.166666666666666,4.166666666666666,8.333333333333332
MKD,"Macedonia, FYR",54.166666666666664,66.66666666666666,66.66666666666666
MLI,Mali,16.666666666666664,25,29.166666666666668
MLT,Malta,75,75,79.16666666666666
MMR,Myanmar,29.166666666666668,33.33333333333333,33.33333333333333
MNE,Montenegro,37.5,37.5,50
MNG,Mongolia,50,62.5,66.66666666666666
MOZ,Mozambique,33.33333333333333,33.33333333333333,33.33333333333333
MRT,Mauritania,29.166666666666668,29.166666666666668,25
MUS,Mauritius,75,70.83333333333334,75
MWI,Malawi,20.833333333333336,20.833333333333336,20.833333333333336
MYS,Malaysia,54.166666666666664,54.166666666666664,58.333333333333336
NAM,Namibia,29.166666666666668,29.166666666666668,29.166666666666668
NER,Niger,25,29.166666666666668,29.166666666666668
NGA,Nigeria,37.5,37.5,37.5
NIC,Nicaragua,29.166666666666668,33.33333333333333,29.166666666666668
NLD,Netherlands,91.66666666666666,91.66666666666666,91.66666666666666
NOR,Norway,83.33333333333334,91.66666666666666,91.66666666666666
NPL,Nepal,25,20.833333333333336,20.833333333333336
NRU,Nauru,8.333333333333332,16.666666666666664,12.5
NZL,New Zealand,54.166666666666664,66.66666666666666,66.66666666666666
OMN,Oman,33.33333333333333,37.5,33.33333333333333
PAK,Pakistan,33.33333333333333,29.166666666666668,33.33333333333333
PAN,Panama,25,25,29.166666666666668
PER,Peru,33.33333333333333,33.33333333333333,41.66666666666667
PHL,Philippines,45.83333333333333,41.66666666666667,45.83333333333333
PLW,Palau,25,25,29.166666666666668
PNG,Papua New Guinea,16.666666666666664,16.666666666666664,20.833333333333336
POL,Poland,91.66666666666666,91.66666666666666,91.66666666666666
PRT,Portugal,91.66666666666666,91.66666666666666,91.66666666666666
PRY,Paraguay,41.66666666666667,37.5,37.5
