iso3c,country,SPI.OVRL.SCR_2016,SPI.OVRL.SCR_2017,SPI.OVRL.SCR_2018,SPI.OVRL.SCR_2019,SPI.D1.MSC_2016,SPI.D1.MSC_2017,SPI.D1.MSC_2018,SPI.D1.MSC_2019,SPI.D2.CS_2016,SPI.D2.CS_2017,SPI.D2.CS_2018,SPI.D2.CS_2019,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019,SPI.D4.DPO_2016,SPI.D4.DPO_2017,SPI.D4.DPO_2018,SPI.D4.DPO_2019
DOM,Dominican Republic,61.65550595238095,61.26488095238095,62.20610119047619,59.62425595238095,54.166666666666664,54.166666666666664,45.83333333333333,54.166666666666664,66.25,66.25,65,65,69.0625,67.5,66.5625,62.18749999999999,57.14285714285714,57.14285714285714,71.42857142857143,57.14285714285714
DZA,Algeria,36.14955357142857,34.97767857142857,45.17113095238095,43.191964285714285,25,25,29.166666666666668,37.5,52.5,48.75,48.75,36.25,52.81249999999999,51.87500000000001,45.625,41.875,14.285714285714285,14.285714285714285,57.14285714285714,57.14285714285714
ECU,Ecuador,64.73214285714286,64.96651785714286,67.96502976190476,66.87127976190476,50,50,45.83333333333333,45.83333333333333,56.25,56.25,56.25,56.25,81.25,82.1875,84.0625,79.6875,71.42857142857143,71.42857142857143,85.71428571428571,85.71428571428571
EGY,"Egypt, Arab Rep.",66.63318452380952,63.35193452380952,68.72023809523809,65.75148809523809,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,65,55.00000000000001,65,57.49999999999999,63.4375,60.3125,57.49999999999999,53.125,71.42857142857143,71.42857142857143,85.71428571428571,85.71428571428571
ERI,Eritrea,5.989583333333333,5.052083333333333,5.052083333333333,4.427083333333333,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,3.75,3.75,3.75,3.75,11.875,8.125,8.125,5.624999999999999,0,0,0,0
ESP,Spain,86.89732142857143,86.89732142857143,86.89732142857143,NA,87.5,87.5,87.5,NA,100,100,100,NA,74.375,74.375,74.375,NA,85.71428571428571,85.71428571428571,85.71428571428571,NA
EST,Estonia,84.91815476190476,85.07440476190476,88.64583333333334,NA,83.33333333333334,83.33333333333334,83.33333333333334,NA,100,100,100,NA,70.625,71.25,71.25,NA,85.71428571428571,85.71428571428571,100,NA
ETH,Ethiopia,43.206845238095234,44.144345238095234,51.73363095238095,50.40550595238095,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,82.5,87.5,75,75,59.375,58.12500000000001,58.12500000000001,52.81249999999999,14.285714285714285,14.285714285714285,57.14285714285714,57.14285714285714
FIN,Finland,84.36755952380952,84.36755952380952,91.51041666666666,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,100,100,100,NA,74.375,74.375,74.375,NA,71.42857142857143,71.42857142857143,100,NA
FJI,Fiji,40.65848214285714,44.72098214285714,54.52380952380952,53.38169642857143,37.5,50,54.166666666666664,50,45,48.75,48.75,43.75,51.5625,51.5625,43.75,34.0625,28.57142857142857,28.57142857142857,71.42857142857143,85.71428571428571
FRA,France,87.93898809523809,87.93898809523809,91.51041666666666,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,100,100,100,NA,74.375,74.375,74.375,NA,85.71428571428571,85.71428571428571,100,NA
FSM,"Micronesia, Fed. Sts.",24.590773809523807,24.590773809523807,28.16220238095238,27.53720238095238,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,32.5,32.5,32.5,32.5,20.625,20.625,20.625,18.125,28.57142857142857,28.57142857142857,42.857142857142854,42.857142857142854
GAB,Gabon,28.311011904761905,28.545386904761905,28.857886904761905,29.616815476190478,20.833333333333336,20.833333333333336,20.833333333333336,20.833333333333336,36.25,36.25,40,40,41.875,42.8125,40.3125,29.062500000000004,14.285714285714285,14.285714285714285,14.285714285714285,28.57142857142857
GBR,United Kingdom,82.28794642857143,83.90252976190476,87.47395833333334,NA,75,83.33333333333334,83.33333333333334,NA,100,100,100,NA,68.4375,66.5625,66.5625,NA,85.71428571428571,85.71428571428571,100,NA
GEO,Georgia,74.68005952380952,74.21130952380952,74.68005952380952,76.68898809523809,79.16666666666666,79.16666666666666,79.16666666666666,79.16666666666666,61.25000000000001,61.25000000000001,61.25000000000001,57.49999999999999,86.875,85,86.875,84.375,71.42857142857143,71.42857142857143,71.42857142857143,85.71428571428571
GHA,Ghana,53.63095238095239,53.214285714285715,62.20982142857143,63.04315476190476,41.66666666666667,37.5,37.5,45.83333333333333,61.25000000000001,61.25000000000001,57.49999999999999,57.49999999999999,68.75,71.25,68.125,63.125,42.857142857142854,42.857142857142854,85.71428571428571,85.71428571428571
GIN,Guinea,26.982886904761905,28.154761904761905,41.03422619047619,42.49255952380952,8.333333333333332,8.333333333333332,8.333333333333332,16.666666666666664,33.75,37.5,33.75,33.75,51.5625,52.5,50.625,48.125,14.285714285714285,14.285714285714285,71.42857142857143,71.42857142857143
GMB,"Gambia, The",36.54017857142857,34.66517857142857,41.339285714285715,31.223958333333332,25,25,25,33.33333333333333,61.25000000000001,53.75,53.75,53.75,45.625,45.625,43.75,37.8125,14.285714285714285,14.285714285714285,42.857142857142854,0
GNB,Guinea-Bissau,28.64955357142857,28.311011904761905,31.882440476190478,27.686011904761905,12.5,20.833333333333336,20.833333333333336,20.833333333333336,45,36.25,36.25,36.25,42.8125,41.875,41.875,39.375,14.285714285714285,14.285714285714285,28.57142857142857,14.285714285714285
GNQ,Equatorial Guinea,20.260416666666664,19.114583333333332,23.72767857142857,30.245535714285715,16.666666666666664,20.833333333333336,25,25,28.749999999999996,28.749999999999996,28.749999999999996,28.749999999999996,35.625,26.875,26.875,24.375,0,0,14.285714285714285,42.857142857142854
GRC,Greece,76.73363095238095,77.20238095238095,87.91666666666666,NA,79.16666666666666,79.16666666666666,79.16666666666666,NA,100,100,100,NA,70.625,72.5,72.5,NA,57.14285714285714,57.14285714285714,100,NA
GRD,Grenada,28.645833333333332,27.135416666666664,31.514136904761905,36.469494047619044,33.33333333333333,29.166666666666668,33.33333333333333,33.33333333333333,28.749999999999996,28.749999999999996,28.749999999999996,25,52.5,50.625,49.6875,44.6875,0,0,14.285714285714285,42.857142857142854
GTM,Guatemala,50.63244047619047,46.64806547619047,49.828869047619044,55.718005952380956,33.33333333333333,33.33333333333333,33.33333333333333,41.66666666666667,63.74999999999999,48.75,48.75,55.00000000000001,76.875,75.9375,74.375,69.0625,28.57142857142857,28.57142857142857,42.857142857142854,57.14285714285714
GUY,Guyana,30.286458333333332,27.96875,34.33035714285714,36.964285714285715,33.33333333333333,25,25,25,41.25,41.25,36.25,36.25,46.5625,45.625,47.5,43.75,0,0,28.57142857142857,42.857142857142854
HND,Honduras,53.31473214285714,52.37723214285714,63.24776785714286,60.27901785714286,37.5,37.5,37.5,37.5,82.5,78.75,77.5,73.75,64.6875,64.6875,66.5625,58.4375,28.57142857142857,28.57142857142857,71.42857142857143,71.42857142857143
HRV,Croatia,78.09523809523809,78.09523809523809,79.13690476190476,79.34523809523809,79.16666666666666,79.16666666666666,83.33333333333334,91.66666666666666,75,75,75,70,72.5,72.5,72.5,70,85.71428571428571,85.71428571428571,85.71428571428571,85.71428571428571
HTI,Haiti,26.904761904761905,26.201636904761905,33.18824404761905,28.757440476190478,20.833333333333336,20.833333333333336,20.833333333333336,20.833333333333336,23.75,23.75,32.5,32.5,48.75,45.9375,36.5625,33.125,14.285714285714285,14.285714285714285,42.857142857142854,28.57142857142857
HUN,Hungary,93.59375,93.59375,93.59375,NA,100,100,100,NA,100,100,100,NA,74.375,74.375,74.375,NA,100,100,100,NA
IDN,Indonesia,66.94568452380952,65.43526785714286,73.15104166666666,72.52604166666666,54.166666666666664,50,54.166666666666664,54.166666666666664,75,75,75,75,67.1875,65.3125,63.4375,60.9375,71.42857142857143,71.42857142857143,100,100
IND,India,60.770089285714285,61.551339285714285,68.69419642857143,67.54836309523809,50,50,50,54.166666666666664,78.75,78.75,78.75,73.75,57.1875,60.3125,60.3125,56.56250000000001,57.14285714285714,57.14285714285714,85.71428571428571,85.71428571428571
IRL,Ireland,81.71130952380952,81.24255952380952,84.81398809523809,NA,79.16666666666666,79.16666666666666,79.16666666666666,NA,100,100,100,NA,76.25,74.375,74.375,NA,71.42857142857143,71.42857142857143,85.71428571428571,NA
IRN,"Iran, Islamic Rep.",44.48660714285714,44.48660714285714,49.09970238095239,48.47470238095239,37.5,37.5,41.66666666666667,41.66666666666667,50,50,50,50,61.875,61.875,61.875,59.375,28.57142857142857,28.57142857142857,42.857142857142854,42.857142857142854
IRQ,Iraq,32.890625,31.953125,26.432291666666668,37.328869047619044,37.5,37.5,29.166666666666668,33.33333333333333,42.5,38.75,27.500000000000004,27.500000000000004,51.5625,51.5625,49.0625,45.625,0,0,0,42.857142857142854
ISL,Iceland,80.24925595238093,80.24925595238093,86.61086309523809,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,100,100,100,NA,72.1875,72.1875,69.0625,NA,57.14285714285714,57.14285714285714,85.71428571428571,NA
ISR,Israel,83.40401785714286,82.93526785714286,82.62276785714286,NA,87.5,87.5,87.5,NA,100,100,100,NA,74.6875,72.8125,71.5625,NA,71.42857142857143,71.42857142857143,71.42857142857143,NA
ITA,Italy,84.36755952380952,84.36755952380952,87.93898809523809,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,100,100,100,NA,74.375,74.375,74.375,NA,71.42857142857143,71.42857142857143,85.71428571428571,NA
JAM,Jamaica,53.60863095238095,51.52529761904761,52.80505952380953,54.8139880952381,41.66666666666667,33.33333333333333,29.166666666666668,29.166666666666668,57.49999999999999,57.49999999999999,52.5,48.75,58.12500000000001,58.12500000000001,58.12500000000001,55.625,57.14285714285714,57.14285714285714,71.42857142857143,85.71428571428571
JOR,Jordan,52.566964285714285,51.629464285714285,52.28422619047619,61.536458333333336,25,25,20.833333333333336,33.33333333333333,70,66.25,61.25000000000001,61.25000000000001,58.12500000000001,58.12500000000001,55.625,51.5625,57.14285714285714,57.14285714285714,71.42857142857143,100
JPN,Japan,70.68824404761905,70.21949404761905,81.97544642857143,NA,70.83333333333334,70.83333333333334,75,NA,100,100,100,NA,69.0625,67.1875,67.1875,NA,42.857142857142854,42.857142857142854,85.71428571428571,NA
KAZ,Kazakhstan,71.78571428571428,72.25446428571428,74.26339285714286,71.55505952380952,75,75,75,66.66666666666666,70,70,63.74999999999999,63.74999999999999,85,86.875,86.875,84.375,57.14285714285714,57.14285714285714,71.42857142857143,71.42857142857143
KEN,Kenya,44.14434523809524,42.79017857142857,52.879464285714285,55.38318452380953,41.66666666666667,37.5,37.5,41.66666666666667,65,65,65,60,55.625,54.37499999999999,51.87500000000001,48.4375,14.285714285714285,14.285714285714285,57.14285714285714,71.42857142857143
KGZ,Kyrgyz Republic,67.41071428571428,67.41071428571428,71.45089285714286,70.82589285714286,87.5,87.5,87.5,87.5,46.25,46.25,46.25,46.25,78.75,78.75,80.625,78.125,57.14285714285714,57.14285714285714,71.42857142857143,71.42857142857143
KHM,Cambodia,56.573660714285715,56.339285714285715,59.910714285714285,58.296130952380956,37.5,37.5,37.5,41.66666666666667,82.5,82.5,82.5,76.25,63.4375,62.5,62.5,58.12500000000001,42.857142857142854,42.857142857142854,57.14285714285714,57.14285714285714
KIR,Kiribati,20.052083333333336,18.072916666666664,18.072916666666664,17.447916666666664,20.833333333333336,16.666666666666664,16.666666666666664,16.666666666666664,32.5,28.749999999999996,28.749999999999996,28.749999999999996,26.875,26.875,26.875,24.375,0,0,0,0
KNA,St. Kitts and Nevis,20.677083333333332,19.635416666666664,19.635416666666664,27.194940476190474,33.33333333333333,29.166666666666668,29.166666666666668,33.33333333333333,28.749999999999996,28.749999999999996,28.749999999999996,28.749999999999996,20.625,20.625,20.625,18.125,0,0,0,28.57142857142857
KOR,"Korea, Rep.",74.02529761904762,73.55654761904762,80.69940476190476,NA,70.83333333333334,70.83333333333334,70.83333333333334,NA,100,100,100,NA,68.125,66.25,66.25,NA,57.14285714285714,57.14285714285714,85.71428571428571,NA
KWT,Kuwait,37.94642857142857,37.63392857142857,43.761160714285715,NA,37.5,37.5,37.5,NA,46.25,46.25,46.25,NA,53.75,52.5,48.4375,NA,14.285714285714285,14.285714285714285,42.857142857142854,NA
LAO,Lao PDR,33.857886904761905,34.925595238095234,52.44047619047619,52.57068452380953,8.333333333333332,16.666666666666664,20.833333333333336,29.166666666666668,67.5,62.5,71.25,67.5,45.3125,46.25,46.25,42.1875,14.285714285714285,14.285714285714285,71.42857142857143,71.42857142857143
LBN,Lebanon,32.79017857142857,29.84747023809524,36.28720238095238,37.745535714285715,25,29.166666666666668,29.166666666666668,37.5,43.75,35,31.25,31.25,48.125,40.9375,41.875,39.375,14.285714285714285,14.285714285714285,42.857142857142854,42.857142857142854
LBR,Liberia,40.390625,38.515625,46.46577380952381,43.65327380952381,25,25,29.166666666666668,41.66666666666667,73.75,68.75,68.75,50,62.81250000000001,60.3125,59.375,54.37499999999999,0,0,28.57142857142857,28.57142857142857
LBY,Libya,15.520833333333334,12.395833333333334,12.395833333333334,11.770833333333334,20.833333333333336,20.833333333333336,20.833333333333336,20.833333333333336,25,12.5,12.5,12.5,16.25,16.25,16.25,13.750000000000002,0,0,0,0
LCA,St. Lucia,41.88244047619047,40.84077380952381,44.672619047619044,42.875744047619044,33.33333333333333,29.166666666666668,33.33333333333333,33.33333333333333,48.75,48.75,48.75,48.75,56.875,56.875,53.75,46.5625,28.57142857142857,28.57142857142857,42.857142857142854,42.857142857142854
LKA,Sri Lanka,66.26860119047619,67.41443452380952,69.03273809523809,66.06398809523809,45.83333333333333,54.166666666666664,54.166666666666664,54.166666666666664,76.25,72.5,68.75,63.74999999999999,71.5625,71.5625,67.5,60.62499999999999,71.42857142857143,71.42857142857143,85.71428571428571,85.71428571428571
LSO,Lesotho,47.97619047619047,50.11160714285714,59.65401785714286,57.62276785714286,33.33333333333333,37.5,37.5,37.5,77.5,82.5,78.75,75,52.5,51.87500000000001,50.9375,46.5625,28.57142857142857,28.57142857142857,71.42857142857143,71.42857142857143
LTU,Lithuania,82.87946428571428,82.87946428571428,93.59375,NA,100,100,100,NA,100,100,100,NA,74.375,74.375,74.375,NA,57.14285714285714,57.14285714285714,100,NA
LUX,Luxembourg,77.22842261904762,77.69717261904762,84.84002976190476,NA,83.33333333333334,83.33333333333334,83.33333333333334,NA,100,100,100,NA,68.4375,70.3125,70.3125,NA,57.14285714285714,57.14285714285714,85.71428571428571,NA
LVA,Latvia,87.47023809523809,87.93898809523809,87.93898809523809,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,100,100,100,NA,72.5,74.375,74.375,NA,85.71428571428571,85.71428571428571,85.71428571428571,NA
MAR,Morocco,55.11904761904761,56.395089285714285,54.10342261904761,54.285714285714285,33.33333333333333,50,45.83333333333333,50,63.74999999999999,55.00000000000001,50,50,66.25,63.4375,63.4375,60,57.14285714285714,57.14285714285714,57.14285714285714,57.14285714285714
MDA,Moldova,68.50446428571428,68.50446428571428,79.6875,76.53273809523809,87.5,87.5,87.5,91.66666666666666,52.5,52.5,52.5,52.5,76.875,76.875,78.75,76.25,57.14285714285714,57.14285714285714,100,85.71428571428571
MDG,Madagascar,29.947916666666668,28.151041666666668,35.97470238095238,36.495535714285715,29.166666666666668,29.166666666666668,29.166666666666668,25,40,35,26.25,35,50.625,48.4375,45.625,43.125,0,0,42.857142857142854,42.857142857142854
MDV,Maldives,37.50372023809524,34.55729166666667,42.50744047619047,46.52157738095238,41.66666666666667,41.66666666666667,45.83333333333333,54.166666666666664,43.75,48.75,48.75,48.75,50.31250000000001,47.8125,46.875,40.3125,14.285714285714285,0,28.57142857142857,42.857142857142854
