iso3c,country,HOUS_2016,HOUS_2017,HOUS_2018,HOUS_2019,SPI.D1.5.HOUS_2016,SPI.D1.5.HOUS_2017,SPI.D1.5.HOUS_2018,SPI.D1.5.HOUS_2019
IRQ,Iraq,COICOP,COICOP,COICOP,COICOP,1,1,1,1
IRL,Ireland,COICOP,COICOP,COICOP,NA,1,1,1,NA
ISR,Israel,COICOP,COICOP,COICOP,NA,1,1,1,NA
ITA,Italy,COICOP,COICOP,COICOP,NA,1,1,1,NA
JAM,Jamaica,COICOP,COICOP,COICOP,COICOP,1,1,1,1
JPN,Japan,COICOP,COICOP,COICOP,NA,1,1,1,NA
JOR,Jordan,na,NA,NA,NA,0,0,0,0
KAZ,Kazakhstan,COICOP,COICOP,COICOP,COICOP,1,1,1,1
KEN,Kenya,na,NA,NA,NA,0,0,0,0
KIR,Kiribati,na,NA,NA,NA,0,0,0,0
KOR,"Korea, Rep.",COICOP,COICOP,COICOP,NA,1,1,1,NA
XKX,Kosovo,COICOP,COICOP,COICOP,COICOP,1,1,1,1
KWT,Kuwait,na,NA,NA,NA,0,0,0,NA
KGZ,Kyrgyz Republic,COICOP,COICOP,COICOP,COICOP,1,1,1,1
LAO,Lao PDR,na,0,0,0,0,0,0,0
LVA,Latvia,COICOP,COICOP,COICOP,NA,1,1,1,NA
LBN,Lebanon,na,NA,NA,NA,0,0,0,0
LSO,Lesotho,COICOP,COICOP,COICOP,COICOP,1,1,1,1
LBR,Liberia,COICOP,COICOP,COICOP,COICOP,1,1,1,1
LBY,Libya,COICOP,COICOP,COICOP,COICOP,1,1,1,1
LTU,Lithuania,COICOP,COICOP,COICOP,NA,1,1,1,NA
LUX,Luxembourg,COICOP,COICOP,COICOP,NA,1,1,1,NA
MDG,Madagascar,COICOP,COICOP,COICOP,COICOP,1,1,1,1
MWI,Malawi,na,NA,NA,NA,0,0,0,0
MYS,Malaysia,COICOP,COICOP,COICOP,COICOP,1,1,1,1
MDV,Maldives,COICOP,COICOP,COICOP,COICOP,1,1,1,1
MLI,Mali,COICOP,COICOP,COICOP,COICOP,1,1,1,1
MLT,Malta,COICOP,COICOP,COICOP,NA,1,1,1,NA
MHL,Marshall Islands,0,0,0,0,0,0,0,0
MRT,Mauritania,COICOP,COICOP,COICOP,COICOP,1,1,1,1
MUS,Mauritius,COICOP,COICOP,COICOP,COICOP,1,1,1,1
MEX,Mexico,na,COICOP,COICOP,COICOP,0,1,1,1
FSM,"Micronesia, Fed. Sts.",COICOP,COICOP,COICOP,COICOP,1,1,1,1
MDA,Moldova,COICOP,COICOP,COICOP,COICOP,1,1,1,1
MNG,Mongolia,COICOP,COICOP,COICOP,COICOP,1,1,1,1
MNE,Montenegro,COICOP,COICOP,COICOP,COICOP,1,1,1,1
MAR,Morocco,0,COICOP,COICOP,COICOP,0,1,1,1
MOZ,Mozambique,COICOP,COICOP,COICOP,COICOP,1,1,1,1
MMR,Myanmar,na,NA,NA,NA,0,0,0,0
NAM,Namibia,na,NA,NA,NA,0,0,0,0
NRU,Nauru,0,0,0,0,0,0,0,0
NPL,Nepal,na,NA,NA,NA,0,0,0,0
NLD,Netherlands,COICOP,COICOP,COICOP,NA,1,1,1,NA
NZL,New Zealand,COICOP,COICOP,COICOP,NA,1,1,1,NA
NIC,Nicaragua,0,0,0,0,0,0,0,0
