iso3c,country,SPI_2016,SPI_2017,SPI_2018,SPI_2019,SPI.D1.MSC_2016,SPI.D1.MSC_2017,SPI.D1.MSC_2018,SPI.D1.MSC_2019,SPI.D2.CS_2016,SPI.D2.CS_2017,SPI.D2.CS_2018,SPI.D2.CS_2019,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019,SPI.D4.DPO_2016,SPI.D4.DPO_2017,SPI.D4.DPO_2018,SPI.D4.DPO_2019
BEL,Belgium,79.91071428571428,79.91071428571428,87.05357142857143,NA,87.5,87.5,87.5,NA,100,100,100,NA,75,75,75,NA,57.14285714285714,57.14285714285714,85.71428571428571,NA
BEN,Benin,48.80952380952381,50.89285714285714,60.35714285714286,NA,20.833333333333336,29.166666666666668,29.166666666666668,25,62.5,62.5,57.49999999999999,47.5,83.33333333333333,83.33333333333333,83.33333333333333,NA,28.57142857142857,28.57142857142857,71.42857142857143,71.42857142857143
BFA,Burkina Faso,56.026785714285715,54.672619047619044,49.80654761904761,NA,25,33.33333333333333,33.33333333333333,33.33333333333333,56.25,42.5,33.75,38.75,100,100,75,NA,42.857142857142854,42.857142857142854,57.14285714285714,57.14285714285714
BGD,Bangladesh,50.684523809523796,50.37202380952381,53.94345238095239,NA,33.33333333333333,25,25,25,57.49999999999999,56.25,56.25,50,83.33333333333333,91.66666666666667,91.66666666666667,NA,28.57142857142857,28.57142857142857,42.857142857142854,71.42857142857143
BGR,Bulgaria,81.39880952380953,80.14880952380953,89.58333333333333,NA,87.5,87.5,91.66666666666666,91.66666666666666,75,70,75,75,91.66666666666667,91.66666666666667,91.66666666666667,NA,71.42857142857143,71.42857142857143,100,85.71428571428571
BHR,Bahrain,41.41369047619048,41.51785714285714,48.660714285714285,NA,41.66666666666667,37.5,37.5,NA,28.749999999999996,25,25,NA,66.66666666666667,75,75,NA,28.57142857142857,28.57142857142857,57.14285714285714,NA
BHS,"Bahamas, The",39.27083333333333,36.25,53.660714285714285,NA,33.33333333333333,25,37.5,NA,48.75,45,45,NA,75,75,75,NA,0,0,57.14285714285714,NA
BIH,Bosnia and Herzegovina,57.03869047619047,54.95535714285714,63.37797619047619,NA,66.66666666666666,66.66666666666666,62.5,62.5,41.25,41.25,36.25,36.25,91.66666666666667,83.33333333333333,83.33333333333333,NA,28.57142857142857,28.57142857142857,71.42857142857143,85.71428571428571
BLR,Belarus,65.22321428571428,65.11904761904762,74.24107142857143,NA,83.33333333333334,79.16666666666666,83.33333333333334,87.5,28.749999999999996,32.5,36.25,32.5,91.66666666666667,91.66666666666667,91.66666666666667,NA,57.14285714285714,57.14285714285714,85.71428571428571,85.71428571428571
BLZ,Belize,53.214285714285715,53.214285714285715,63.92857142857143,NA,29.166666666666668,29.166666666666668,29.166666666666668,29.166666666666668,57.49999999999999,57.49999999999999,57.49999999999999,52.5,83.33333333333333,83.33333333333333,83.33333333333333,NA,42.857142857142854,42.857142857142854,85.71428571428571,85.71428571428571
