iso3c,country,IDDS_2016,IDDS_2017,IDDS_2018,IDDS_2019,SPI.D1.10.IDDS_2016,SPI.D1.10.IDDS_2017,SPI.D1.10.IDDS_2018,SPI.D1.10.IDDS_2019
IRQ,Iraq,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
IRL,Ireland,SDDS,SDDS,SDDS,NA,1,1,1,NA
ISR,Israel,SDDS,SDDS,SDDS,NA,1,1,1,NA
ITA,Italy,SDDS Plus,SDDS Plus,SDDS Plus,NA,1,1,1,NA
JAM,Jamaica,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
JPN,Japan,SDDS Plus,SDDS Plus,SDDS Plus,NA,1,1,1,NA
JOR,Jordan,SDDS,SDDS,SDDS,SDDS,1,1,1,1
KAZ,Kazakhstan,SDDS,SDDS,SDDS,SDDS,1,1,1,1
KEN,Kenya,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
KIR,Kiribati,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
KOR,"Korea, Rep.",SDDS,SDDS,SDDS,NA,1,1,1,NA
XKX,Kosovo,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
KWT,Kuwait,e-GDDS,e-GDDS,e-GDDS,NA,0.5,0.5,0.5,NA
KGZ,Kyrgyz Republic,SDDS,SDDS,SDDS,SDDS,1,1,1,1
LAO,Lao PDR,0,e-GDDS,e-GDDS,e-GDDS,0,0.5,0.5,0.5
LVA,Latvia,SDDS Plus,SDDS Plus,SDDS Plus,NA,1,1,1,NA
LBN,Lebanon,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
LSO,Lesotho,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
LBR,Liberia,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
LBY,Libya,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
LTU,Lithuania,SDDS Plus,SDDS Plus,SDDS Plus,NA,1,1,1,NA
LUX,Luxembourg,SDDS,SDDS,SDDS,NA,1,1,1,NA
NA,"Macedonia, FYR",SDDS,SDDS Plus,SDDS Plus,SDDS Plus,1,1,1,1
MDG,Madagascar,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
MWI,Malawi,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
MYS,Malaysia,SDDS,SDDS,SDDS,SDDS,1,1,1,1
MDV,Maldives,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
MLI,Mali,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
MLT,Malta,SDDS,SDDS,SDDS,NA,1,1,1,NA
MHL,Marshall Islands,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
MRT,Mauritania,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
MUS,Mauritius,SDDS,SDDS,SDDS,SDDS,1,1,1,1
MEX,Mexico,SDDS,SDDS,SDDS,SDDS,1,1,1,1
FSM,"Micronesia, Fed. Sts.",e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
MDA,Moldova,SDDS,SDDS,SDDS,SDDS,1,1,1,1
MNG,Mongolia,e-GDDS,SDDS,SDDS,SDDS,0.5,1,1,1
MNE,Montenegro,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
MAR,Morocco,SDDS,SDDS,SDDS,SDDS,1,1,1,1
MOZ,Mozambique,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
MMR,Myanmar,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
NAM,Namibia,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
NRU,Nauru,0,0,0,0,0,0,0,0
NPL,Nepal,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
NLD,Netherlands,SDDS Plus,SDDS Plus,SDDS Plus,NA,1,1,1,NA
NZL,New Zealand,0,0,0,NA,0,0,0,NA
NIC,Nicaragua,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
NER,Niger,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
NGA,Nigeria,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
NOR,Norway,SDDS,SDDS,SDDS,NA,1,1,1,NA
OMN,Oman,e-GDDS,e-GDDS,e-GDDS,NA,0.5,0.5,0.5,NA
PAK,Pakistan,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
PLW,Palau,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
PAN,Panama,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
PNG,Papua New Guinea,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
PRY,Paraguay,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
PER,Peru,SDDS,SDDS,SDDS,SDDS,1,1,1,1
PHL,Philippines,SDDS,SDDS,SDDS,SDDS,1,1,1,1
POL,Poland,SDDS,SDDS,SDDS,SDDS,1,1,1,1
PRT,Portugal,SDDS Plus,SDDS Plus,SDDS Plus,NA,1,1,1,NA
QAT,Qatar,e-GDDS,e-GDDS,e-GDDS,NA,0.5,0.5,0.5,NA
ROU,Romania,SDDS,SDDS,SDDS,SDDS Plus,1,1,1,1
RUS,Russian Federation,SDDS,SDDS,SDDS,SDDS,1,1,1,1
RWA,Rwanda,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
WSM,Samoa,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
SMR,San Marino,e-GDDS,e-GDDS,e-GDDS,NA,0.5,0.5,0.5,NA
NA,São Tomé and Principe,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
SAU,Saudi Arabia,e-GDDS,e-GDDS,e-GDDS,NA,0.5,0.5,0.5,NA
SEN,Senegal,e-GDDS,SDDS,SDDS,SDDS,0.5,1,1,1
SRB,Serbia,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
SYC,Seychelles,SDDS,SDDS,SDDS,SDDS,1,1,1,1
SLE,Sierra Leone,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
SGP,Singapore,SDDS,SDDS,SDDS,NA,1,1,1,NA
SVK,Slovak Republic,SDDS,SDDS,SDDS,NA,1,1,1,NA
SVN,Slovenia,SDDS,SDDS,SDDS,NA,1,1,1,NA
SLB,Solomon Islands,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
SOM,Somalia,0,0,0,0,0,0,0,0
ZAF,South Africa,SDDS,SDDS,SDDS,SDDS,1,1,1,1
SSD,South Sudan,0,0,0,0,0,0,0,0
ESP,Spain,SDDS Plus,SDDS Plus,SDDS Plus,NA,1,1,1,NA
LKA,Sri Lanka,SDDS,SDDS,SDDS,SDDS,1,1,1,1
KNA,St. Kitts and Nevis,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
LCA,St. Lucia,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
VCT,St. Vincent and the Grenadines,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
SDN,Sudan,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
SUR,Suriname,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
SWE,Sweden,SDDS Plus,SDDS Plus,SDDS Plus,NA,1,1,1,NA
CHE,Switzerland,SDDS,SDDS,SDDS,NA,1,1,1,NA
SYR,Syrian Arab Republic,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
TJK,Tajikistan,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
TZA,Tanzania,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
THA,Thailand,SDDS,SDDS,SDDS,SDDS,1,1,1,1
TLS,Timor-Leste,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
TGO,Togo,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
TON,Tonga,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
TTO,Trinidad and Tobago,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
TUN,Tunisia,SDDS,SDDS,SDDS,SDDS,1,1,1,1
TUR,Turkey,SDDS,SDDS,SDDS,SDDS,1,1,1,1
TKM,Turkmenistan,na,0,0,0,0,0,0,0
TUV,Tuvalu,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
UGA,Uganda,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
UKR,Ukraine,SDDS,SDDS,SDDS,SDDS,1,1,1,1
ARE,United Arab Emirates,e-GDDS,e-GDDS,e-GDDS,NA,0.5,0.5,0.5,NA
GBR,United Kingdom,SDDS,SDDS,SDDS,NA,1,1,1,NA
USA,United States,SDDS Plus,SDDS Plus,SDDS Plus,NA,1,1,1,NA
URY,Uruguay,SDDS,SDDS,SDDS,SDDS,1,1,1,1
UZB,Uzbekistan,na,e-GDDS,e-GDDS,e-GDDS,0,0.5,0.5,0.5
VUT,Vanuatu,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
VEN,"Venezuela, RB",e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
VNM,Vietnam,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
PSE,West Bank and Gaza,SDDS,SDDS,SDDS,SDDS,1,1,1,1
YEM,"Yemen, Rep.",e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
ZMB,Zambia,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
ZWE,Zimbabwe,e-GDDS,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5,0.5
