iso3c,country,database_last_updated,POPU.CENSUS
FSM,"Micronesia, Fed. Sts.",2019,"2000, 2010"
MDA,Moldova,2019,"2004, 2014"
MNG,Mongolia,2019,"2000, 2010"
MNE,Montenegro,2019,"2003, 2011"
MAR,Morocco,2019,"2004, 2014"
MOZ,Mozambique,2019,"1997, 2007, 2017"
MMR,Myanmar,2019,2014
NAM,Namibia,2019,"2001, 2011"
NRU,Nauru,2019,"2002, 2012"
NPL,Nepal,2019,"2001, 2011"
NIC,Nicaragua,2019,2005
NER,Niger,2019,"2001, 2012"
NGA,Nigeria,2019,2006
PAK,Pakistan,2019,"1998, 2017"
PLW,Palau,2019,"2000, 2005, 2010, 2012, 2015"
PAN,Panama,2019,"2000, 2010"
PNG,Papua New Guinea,2019,"2000, 2011"
PRY,Paraguay,2019,"2002, 2012"
PER,Peru,2019,"2005, 2007, 2017"
PHL,Philippines,2019,"2000, 2007, 2010, 2015"
POL,Poland,2019,"2002, 2011"
ROU,Romania,2019,"2002, 2011"
RUS,Russian Federation,2019,"2002, 2010"
RWA,Rwanda,2019,"2002, 2012"
WSM,Samoa,2019,"2001, 2006, 2011, 2016"
STP,São Tomé and Principe,2019,"2001, 2012"
SEN,Senegal,2019,"2002, 2013"
SRB,Serbia,2019,"2002, 2011"
SYC,Seychelles,2019,"1997, 2002, 2010"
SLE,Sierra Leone,2019,"2004, 2015"
SLB,Solomon Islands,2019,"1999, 2009, 2019"
SOM,Somalia,2019,NA
ZAF,South Africa,2019,"1996, 2001, 2011"
SSD,South Sudan,2019,2008
LKA,Sri Lanka,2019,"2001, 2012"
KNA,St. Kitts and Nevis,2019,"2001, 2011"
LCA,St. Lucia,2019,"2001, 2010"
VCT,St. Vincent and the Grenadines,2019,"2001, 2012"
SDN,Sudan,2019,2008
SUR,Suriname,2019,"2003, 2004, 2012"
SYR,Syrian Arab Republic,2019,2004
TJK,Tajikistan,2019,"2000, 2010"
TZA,Tanzania,2019,"2002, 2012"
THA,Thailand,2019,"2000, 2010"
TLS,Timor-Leste,2019,"2004, 2010, 2015"
TGO,Togo,2019,2010
TON,Tonga,2019,"1996, 2006, 2016"
TTO,Trinidad and Tobago,2019,"2000, 2011"
TUN,Tunisia,2019,"2004, 2014"
TUR,Turkey,2019,"2000, 2011"
TKM,Turkmenistan,2019,2012
TUV,Tuvalu,2019,"2002, 2012"
UGA,Uganda,2019,"2002, 2014"
UKR,Ukraine,2019,2001
URY,Uruguay,2019,"1996, 2004, 2011"
UZB,Uzbekistan,2019,NA
VUT,Vanuatu,2019,"1999, 2009, 2016"
VEN,"Venezuela, RB",2019,"2001, 2011"
VNM,Vietnam,2019,"1999, 2009, 2019"
PSE,West Bank and Gaza,2019,"1997, 2007, 2017"
YEM,"Yemen, Rep.",2019,2004
ZMB,Zambia,2019,"2000, 2010"
ZWE,Zimbabwe,2019,"2002, 2012"
