iso3c,country,date,NABY
EST,Estonia,2017,Original chained constant price data are rescaled.
EST,Estonia,2018,Original chained constant price data are rescaled.
ETH,Ethiopia,2016,2011
ETH,Ethiopia,2017,2011
ETH,Ethiopia,2018,2016
FIN,Finland,2016,Original chained constant price data are rescaled.
FIN,Finland,2017,Original chained constant price data are rescaled.
FIN,Finland,2018,Original chained constant price data are rescaled.
FJI,Fiji,2016,2005
FJI,Fiji,2017,2011
FJI,Fiji,2018,2011
FRA,France,2016,Original chained constant price data are rescaled.
FRA,France,2017,Original chained constant price data are rescaled.
FRA,France,2018,Original chained constant price data are rescaled.
FSM,"Micronesia, Fed. Sts.",2016,2004
FSM,"Micronesia, Fed. Sts.",2017,2004
FSM,"Micronesia, Fed. Sts.",2018,2004
GAB,Gabon,2016,2001
GAB,Gabon,2017,2001
GAB,Gabon,2018,2001
GBR,United Kingdom,2016,Original chained constant price data are rescaled.
GBR,United Kingdom,2017,Original chained constant price data are rescaled.
GBR,United Kingdom,2018,Original chained constant price data are rescaled.
GEO,Georgia,2016,Original chained constant price data are rescaled.
GEO,Georgia,2017,Original chained constant price data are rescaled.
GEO,Georgia,2018,Original chained constant price data are rescaled.
GHA,Ghana,2016,2006
GHA,Ghana,2017,2006
GHA,Ghana,2018,2006
GIN,Guinea,2016,2003
GIN,Guinea,2017,2003
GIN,Guinea,2018,2003
GMB,"Gambia, The",2016,2004
GMB,"Gambia, The",2017,2004
GMB,"Gambia, The",2018,2004
GNB,Guinea-Bissau,2016,2005
GNB,Guinea-Bissau,2017,2005
GNB,Guinea-Bissau,2018,2005
GNQ,Equatorial Guinea,2016,2006
GNQ,Equatorial Guinea,2017,2006
GNQ,Equatorial Guinea,2018,2006
GRC,Greece,2016,Original chained constant price data are rescaled.
GRC,Greece,2017,Original chained constant price data are rescaled.
GRC,Greece,2018,Original chained constant price data are rescaled.
GRD,Grenada,2016,2006
GRD,Grenada,2017,2006
GRD,Grenada,2018,2006
GTM,Guatemala,2016,2001
GTM,Guatemala,2017,2001
GTM,Guatemala,2018,2001
GUY,Guyana,2016,2006
GUY,Guyana,2017,2006
GUY,Guyana,2018,2006
HND,Honduras,2016,2000
HND,Honduras,2017,2000
HND,Honduras,2018,2000
HRV,Croatia,2016,Original chained constant price data are rescaled.
HRV,Croatia,2017,Original chained constant price data are rescaled.
HRV,Croatia,2018,Original chained constant price data are rescaled.
HTI,Haiti,2016,1987
HTI,Haiti,2017,1987
HTI,Haiti,2018,1987
HUN,Hungary,2016,Original chained constant price data are rescaled.
HUN,Hungary,2017,Original chained constant price data are rescaled.
HUN,Hungary,2018,Original chained constant price data are rescaled.
IDN,Indonesia,2016,2010
IDN,Indonesia,2017,2010
IDN,Indonesia,2018,2010
IND,India,2016,2012
IND,India,2017,2012
IND,India,2018,2012
IRL,Ireland,2016,Original chained constant price data are rescaled.
IRL,Ireland,2017,Original chained constant price data are rescaled.
IRL,Ireland,2018,Original chained constant price data are rescaled.
IRN,"Iran, Islamic Rep.",2016,2005
IRN,"Iran, Islamic Rep.",2017,2005
IRN,"Iran, Islamic Rep.",2018,2011
IRQ,Iraq,2016,2007
IRQ,Iraq,2017,2007
IRQ,Iraq,2018,2007
ISL,Iceland,2016,Original chained constant price data are rescaled.
ISL,Iceland,2017,Original chained constant price data are rescaled.
ISL,Iceland,2018,Original chained constant price data are rescaled.
ISR,Israel,2016,Original chained constant price data are rescaled.
ISR,Israel,2017,Original chained constant price data are rescaled.
ISR,Israel,2018,Original chained constant price data are rescaled.
ITA,Italy,2016,Original chained constant price data are rescaled.
ITA,Italy,2017,Original chained constant price data are rescaled.
ITA,Italy,2018,Original chained constant price data are rescaled.
JAM,Jamaica,2016,2007
JAM,Jamaica,2017,2007
JAM,Jamaica,2018,2007
JOR,Jordan,2016,1994
JOR,Jordan,2017,1994
JOR,Jordan,2018,1994
JPN,Japan,2016,Original chained constant price data are rescaled.
JPN,Japan,2017,Original chained constant price data are rescaled.
JPN,Japan,2018,Original chained constant price data are rescaled.
KAZ,Kazakhstan,2016,Original chained constant price data are rescaled.
KAZ,Kazakhstan,2017,Original chained constant price data are rescaled.
KAZ,Kazakhstan,2018,Original chained constant price data are rescaled.
KEN,Kenya,2016,2009
KEN,Kenya,2017,2009
KEN,Kenya,2018,2009
KGZ,Kyrgyz Republic,2016,Original chained constant price data are rescaled.
KGZ,Kyrgyz Republic,2017,Original chained constant price data are rescaled.
KGZ,Kyrgyz Republic,2018,Original chained constant price data are rescaled.
KHM,Cambodia,2016,2000
KHM,Cambodia,2017,2000
KHM,Cambodia,2018,2000
KIR,Kiribati,2016,2006
KIR,Kiribati,2017,2006
KIR,Kiribati,2018,2006
KNA,St. Kitts and Nevis,2016,2006
KNA,St. Kitts and Nevis,2017,2006
KNA,St. Kitts and Nevis,2018,2006
KOR,"Korea, Rep.",2016,2010
KOR,"Korea, Rep.",2017,2010
KOR,"Korea, Rep.",2018,2010
KWT,Kuwait,2016,2010
KWT,Kuwait,2017,2010
KWT,Kuwait,2018,2010
LAO,Lao PDR,2016,2002
LAO,Lao PDR,2017,2012
LAO,Lao PDR,2018,2012
LBN,Lebanon,2016,1997
LBN,Lebanon,2017,2010
LBN,Lebanon,2018,2010
LBR,Liberia,2016,2000
LBR,Liberia,2017,2000
LBR,Liberia,2018,2000
LBY,Libya,2016,2003
LBY,Libya,2017,2003
LBY,Libya,2018,2003
LCA,St. Lucia,2016,2006
LCA,St. Lucia,2017,2006
LCA,St. Lucia,2018,2006
LKA,Sri Lanka,2016,2010
LKA,Sri Lanka,2017,2010
LKA,Sri Lanka,2018,2010
LSO,Lesotho,2016,2004
LSO,Lesotho,2017,2012
LSO,Lesotho,2018,2012
LTU,Lithuania,2016,Original chained constant price data are rescaled.
LTU,Lithuania,2017,Original chained constant price data are rescaled.
LTU,Lithuania,2018,Original chained constant price data are rescaled.
LUX,Luxembourg,2016,Original chained constant price data are rescaled.
LUX,Luxembourg,2017,Original chained constant price data are rescaled.
LUX,Luxembourg,2018,Original chained constant price data are rescaled.
LVA,Latvia,2016,Original chained constant price data are rescaled.
LVA,Latvia,2017,Original chained constant price data are rescaled.
LVA,Latvia,2018,Original chained constant price data are rescaled.
MAR,Morocco,2016,2007
MAR,Morocco,2017,2007
MAR,Morocco,2018,2007
MDA,Moldova,2016,Original chained constant price data are rescaled.
MDA,Moldova,2017,Original chained constant price data are rescaled.
MDA,Moldova,2018,Original chained constant price data are rescaled.
MDG,Madagascar,2016,1984
MDG,Madagascar,2017,1984
MDG,Madagascar,2018,1984
MDV,Maldives,2016,2003
MDV,Maldives,2017,2003
MDV,Maldives,2018,2014
MEX,Mexico,2016,2008
MEX,Mexico,2017,2008
