iso3c,country,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019
IND,India,46.666666666666664,50,50,40
IRL,Ireland,66.66666666666667,66.66666666666667,66.66666666666667,56.666666666666664
IRN,"Iran, Islamic Rep.",53.333333333333336,53.333333333333336,53.333333333333336,46.666666666666664
IRQ,Iraq,40,40,40,33.333333333333336
ISL,Iceland,63.333333333333336,63.333333333333336,60,50
ISR,Israel,63.333333333333336,63.333333333333336,60,53.333333333333336
ITA,Italy,66.66666666666667,66.66666666666667,66.66666666666667,60
JAM,Jamaica,53.333333333333336,53.333333333333336,53.333333333333336,46.666666666666664
JOR,Jordan,46.666666666666664,46.666666666666664,40,33.333333333333336
JPN,Japan,60,60,60,53.333333333333336
KAZ,Kazakhstan,80,80,80,73.33333333333333
KEN,Kenya,43.333333333333336,40,40,33.333333333333336
KGZ,Kyrgyz Republic,73.33333333333333,73.33333333333333,73.33333333333333,66.66666666666667
KHM,Cambodia,53.333333333333336,53.333333333333336,53.333333333333336,46.666666666666664
KIR,Kiribati,20,20,20,13.333333333333334
KNA,St. Kitts and Nevis,13.333333333333334,13.333333333333334,13.333333333333334,6.666666666666667
KOR,"Korea, Rep.",60,60,60,53.333333333333336
KWT,Kuwait,46.666666666666664,43.333333333333336,40,30
LAO,Lao PDR,33.333333333333336,33.333333333333336,33.333333333333336,26.666666666666668
LBN,Lebanon,40,33.333333333333336,33.333333333333336,26.666666666666668
LBR,Liberia,50,50,50,43.333333333333336
LBY,Libya,6.666666666666667,6.666666666666667,6.666666666666667,0
LCA,St. Lucia,50,50,46.666666666666664,30
LIE,Liechtenstein,13.333333333333334,13.333333333333334,13.333333333333334,6.666666666666667
LKA,Sri Lanka,60,60,56.666666666666664,43.333333333333336
LSO,Lesotho,40,40,40,33.333333333333336
LTU,Lithuania,66.66666666666667,66.66666666666667,66.66666666666667,60
LUX,Luxembourg,63.333333333333336,63.333333333333336,63.333333333333336,53.333333333333336
LVA,Latvia,66.66666666666667,66.66666666666667,66.66666666666667,60
MAC,"Macao SAR, China",40,40,40,33.333333333333336
MAF,St. Martin (French part),0,0,0,0
MAR,Morocco,53.333333333333336,53.333333333333336,53.333333333333336,46.666666666666664
MCO,Monaco,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667
MDA,Moldova,73.33333333333333,73.33333333333333,73.33333333333333,66.66666666666667
MDG,Madagascar,36.666666666666664,33.333333333333336,33.333333333333336,26.666666666666668
MDV,Maldives,40,33.333333333333336,33.333333333333336,23.333333333333332
MEX,Mexico,76.66666666666667,76.66666666666667,76.66666666666667,70
MHL,Marshall Islands,26.666666666666668,20,20,13.333333333333334
MKD,North Macedonia,73.33333333333333,73.33333333333333,70,56.666666666666664
MLI,Mali,36.666666666666664,33.333333333333336,33.333333333333336,26.666666666666668
MLT,Malta,56.666666666666664,56.666666666666664,56.666666666666664,50
MMR,Myanmar,33.333333333333336,36.666666666666664,43.333333333333336,36.666666666666664
MNE,Montenegro,70,70,70,63.333333333333336
MNG,Mongolia,73.33333333333333,73.33333333333333,73.33333333333333,66.66666666666667
MNP,Northern Mariana Islands,20,20,20,13.333333333333334
MOZ,Mozambique,40,40,40,33.333333333333336
MRT,Mauritania,33.333333333333336,33.333333333333336,33.333333333333336,26.666666666666668
MUS,Mauritius,60,63.333333333333336,60,53.333333333333336
MWI,Malawi,43.333333333333336,43.333333333333336,40,33.333333333333336
MYS,Malaysia,66.66666666666667,63.333333333333336,56.666666666666664,43.333333333333336
NAM,Namibia,40,40,40,33.333333333333336
NCL,New Caledonia,13.333333333333334,13.333333333333334,13.333333333333334,6.666666666666667
